	[tfAR]_0	[tfATF1]_0	[tfBRCA1]_0	[tfCEBPA]_0	[tfCEBPB]_0	[tfCEBPD]_0	[tfCREB1]_0	[tfE2F1]_0	[tfE2F4]_0	[tfEGR1]_0	[tfESR1]_0	[tfETS1]_0	[tfFOXA1]_0	[tfGATA1]_0	[tfGATA2]_0	[tfGATA3]_0	[tfGLI1]_0	[tfGLI2]_0	[tfJUN]_0	[tfJUND]_0	[tfMYB]_0	[tfMYBL1]_0	[tfMYC]_0	[tfNFIC]_0	[tfNFKB1]_0	[tfNFKB2]_0	[tfPGR]_0	[tfPPARG]_0	[tfRARA]_0	[tfRARB]_0	[tfRARG]_0	[tfREL]_0	[tfRELA]_0	[tfSP1]_0	[tfSTAT3]_0	[tfSTAT5A]_0	[tfTFAP2A]_0	[tfTFAP2C]_0	[tfTP53]_0	[tfUSF1]_0	[tfWT1]_0	[tfYBX1]_0	[arnBCL2]_0	[arnBID]_0	[arnCAMK1D]_0	[arnCARD10]_0	[arnCASP1]_0	[arnCLCA1]_0	[arnDAP]_0	[arnGLRX2]_0	[arnIL1F10]_0	[arnIL6]_0	[arnLGALS3]_0	[arnSERPINB2]_0	[MIR143]_0	[MIR146A]_0	[MIR148A]_0	[MIR15A]_0	[MIR15B]_0	[MIR16_2]_0	[MIR17]_0	[MIR18A]_0	[MIR192]_0	[MIR195]_0	[MIR200B]_0	[MIR200C]_0	[MIR20A]_0	[MIR21]_0	[MIR224]_0	[MIR29A]_0	[MIR29C]_0	[MIR34A]_0	[MIR34B]_0	[MIR34C]_0	[MIR448]_0	[MIR449A]_0	[MIRLET7A1]_0	[MIRLET7C]_0
[tfAR]	1.97677e-013	0	1.19222e-013	1.66531e-013	0	0	0	1.20469e-013	0	0	4.09048e-013	0	1.66021e-013	1.40875e-013	1.7265e-013	3.13071e-013	0	0	1.27876e-013	0	0	0	1.02402e-013	1.11252e-013	1.27978e-013	0	0	0	1.29873e-013	2.01164e-013	0	0	0	0	2.11337e-013	1.4579e-013	2.83072e-013	1.6106e-013	2.14463e-013	0	1.65213e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77966e-013	1.0367e-013	0	8.69697e-014	4.938e-013	1.44672e-013	1.47462e-013	2.41388e-013	0	0	0	2.78938e-013	1.76292e-013	1.9765e-013	0	0	1.54396e-013	1.49308e-013
[tfATF1]	0	0	0	0	0	0	0	0	0	0	0	0	-3.32042e-013	0	0	-3.13071e-013	0	0	0	0	-3.2019e-013	0	0	0	-2.55956e-013	0	0	0	0	0	0	0	0	-2.0307e-013	0	0	-2.83072e-013	0	0	-2.27451e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.73939e-013	-2.469e-013	-2.89345e-013	0	0	0	0	0	-2.78938e-013	0	0	0	0	-1.54396e-013	0
[tfBRCA1]	3.95353e-013	2.09e-013	2.38443e-013	4.99594e-013	3.49506e-013	0	1.02474e-013	4.81877e-013	1.96201e-013	2.37172e-013	4.09048e-013	2.62444e-013	1.66021e-013	2.8175e-013	3.453e-013	6.26142e-013	0	0	2.55752e-013	0	1.60095e-013	0	3.07207e-013	1.11252e-013	6.39889e-013	3.36998e-013	5.00175e-013	6.12643e-013	3.8962e-013	8.04655e-013	3.79618e-013	4.36663e-013	1.03889e-013	2.0307e-013	4.22675e-013	4.3737e-013	4.24608e-013	4.83181e-013	3.21695e-013	2.27451e-013	1.65213e-013	1.67772e-013	0	0	0	0	0	0	0	0	0	2.09223e-013	0	0	0	1.90349e-013	0	0	0	2.61981e-013	4.44916e-013	1.0367e-013	0	2.60909e-013	7.407e-013	4.34017e-013	2.21194e-013	3.62083e-013	0	0	2.49983e-013	5.57876e-013	3.52583e-013	1.9765e-013	0	0	1.54396e-013	1.49308e-013
[tfCEBPA]	1.97677e-013	0	1.19222e-013	1.66531e-013	0	0	0	0	0	0	2.04524e-013	0	0	1.40875e-013	0	1.56536e-013	0	0	1.27876e-013	0	0	0	-1.02402e-013	0	1.27978e-013	0	0	0	0	0	0	0	0	0	0	0	1.41536e-013	0	1.07232e-013	1.13725e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.3585e-013	0	-8.73272e-014	8.89831e-014	0	0	8.69697e-014	1.2345e-013	0	0	0	0	0	0	1.39469e-013	0	0	0	0	0	0
[tfCEBPB]	3.95353e-013	3.135e-013	4.76887e-013	4.99594e-013	1.16502e-013	1.18825e-013	2.04948e-013	3.61408e-013	2.94302e-013	2.37172e-013	2.04524e-013	2.62444e-013	0	7.04375e-013	3.453e-013	4.69607e-013	1.75878e-013	1.55952e-013	5.11504e-013	0	0	1.47678e-013	3.07207e-013	4.45009e-013	3.83933e-013	1.12333e-013	5.00175e-013	6.12643e-013	0	4.02328e-013	1.26539e-013	2.91109e-013	0	2.0307e-013	3.17006e-013	4.3737e-013	2.83072e-013	4.83181e-013	6.43389e-013	-1.13725e-013	6.60852e-013	0	4.07606e-013	0	1.87547e-013	1.31738e-013	0	0	0	0	0	4.18446e-013	0	0	2.20305e-013	2.85524e-013	2.24831e-013	4.07551e-013	1.02082e-013	2.61981e-013	3.55933e-013	3.1101e-013	1.29214e-013	1.73939e-013	6.1725e-013	1.44672e-013	1.47462e-013	3.62083e-013	1.62881e-013	8.77465e-014	1.66656e-013	5.57876e-013	7.05167e-013	3.953e-013	1.88388e-013	2.61039e-013	1.54396e-013	3.7327e-013
[tfCEBPD]	1.97677e-013	0	0	0	1.16502e-013	1.18825e-013	1.02474e-013	0	9.81007e-014	0	0	0	0	0	0	1.56536e-013	0	0	1.27876e-013	0	0	0	-1.02402e-013	0	1.27978e-013	1.12333e-013	0	0	0	0	-1.26539e-013	0	1.03889e-013	0	0	0	1.41536e-013	1.6106e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.51746e-014	0	1.3585e-013	0	0	0	1.0367e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[tfCREB1]	0	0	-2.38443e-013	0	0	0	0	0	0	0	0	0	0	0	0	-3.13071e-013	0	0	0	0	0	0	-2.04805e-013	0	0	0	0	0	0	0	-2.53079e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90349e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.78938e-013	0	0	0	0	-1.54396e-013	0
[tfE2F1]	-1.97677e-013	0	1.19222e-013	1.66531e-013	1.16502e-013	-1.18825e-013	0	1.20469e-013	-1.96201e-013	1.18586e-013	2.04524e-013	-2.62444e-013	-1.66021e-013	1.40875e-013	0	4.69607e-013	-1.75878e-013	0	3.83628e-013	0	-1.60095e-013	0	2.04805e-013	1.11252e-013	1.27978e-013	1.12333e-013	2.50087e-013	2.04214e-013	0	2.01164e-013	2.53079e-013	1.45554e-013	-2.07779e-013	1.01535e-013	0	1.4579e-013	-1.41536e-013	1.6106e-013	4.28926e-013	-2.27451e-013	1.65213e-013	-1.67772e-013	0	0	0	0	0	0	0	0	0	-2.09223e-013	0	0	-2.20305e-013	1.90349e-013	0	-4.07551e-013	0	-8.73272e-014	2.66949e-013	0	0	-1.73939e-013	4.938e-013	0	2.21194e-013	-1.20694e-013	0	-8.77465e-014	-8.33278e-014	-1.39469e-013	3.52583e-013	0	0	-2.61039e-013	0	2.98616e-013
[tfE2F4]	3.95353e-013	2.09e-013	2.38443e-013	3.33062e-013	2.33004e-013	0	2.04948e-013	2.40939e-013	1.96201e-013	2.37172e-013	0	5.24887e-013	0	2.8175e-013	0	0	0	0	2.55752e-013	0	0	0	2.04805e-013	2.22505e-013	2.55956e-013	2.24666e-013	5.00175e-013	4.08429e-013	2.59747e-013	4.02328e-013	2.53079e-013	0	0	0	2.11337e-013	2.9158e-013	0	3.22121e-013	0	0	3.30426e-013	3.35543e-013	0	0	0	0	0	0	0	0	0	4.18446e-013	0	0	0	3.80699e-013	0	2.71701e-013	0	1.74654e-013	1.77966e-013	2.0734e-013	0	0	2.469e-013	0	1.47462e-013	0	0	0	1.66656e-013	0	0	3.953e-013	0	0	0	1.49308e-013
[tfEGR1]	1.97677e-013	0	1.19222e-013	1.66531e-013	1.16502e-013	0	0	1.20469e-013	9.81007e-014	1.18586e-013	2.04524e-013	1.31222e-013	-1.66021e-013	2.8175e-013	0	1.56536e-013	0	0	2.55752e-013	0	0	0	0	1.11252e-013	0	1.12333e-013	2.50087e-013	2.04214e-013	0	4.02328e-013	1.26539e-013	1.45554e-013	-1.03889e-013	-1.01535e-013	1.05669e-013	2.9158e-013	1.41536e-013	0	-2.14463e-013	0	0	-1.67772e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.73272e-014	8.89831e-014	2.0734e-013	0	8.69697e-014	1.2345e-013	-2.89345e-013	1.47462e-013	-1.20694e-013	0	0	8.33278e-014	0	3.52583e-013	3.953e-013	0	0	-7.7198e-014	7.4654e-014
[tfESR1]	1.97677e-013	1.045e-013	1.19222e-013	1.66531e-013	1.16502e-013	1.18825e-013	1.02474e-013	1.20469e-013	9.81007e-014	1.18586e-013	4.09048e-013	1.31222e-013	1.66021e-013	1.40875e-013	1.7265e-013	3.13071e-013	1.75878e-013	1.55952e-013	1.27876e-013	0	1.60095e-013	1.47678e-013	1.02402e-013	0	2.55956e-013	1.12333e-013	2.50087e-013	2.04214e-013	1.29873e-013	4.02328e-013	1.26539e-013	1.45554e-013	1.03889e-013	2.0307e-013	1.05669e-013	1.4579e-013	2.83072e-013	1.6106e-013	1.07232e-013	1.13725e-013	3.30426e-013	0	2.03803e-013	0	1.87547e-013	1.31738e-013	0	0	0	0	0	0	0	0	2.20305e-013	9.51746e-014	2.24831e-013	1.3585e-013	1.02082e-013	8.73272e-014	1.77966e-013	1.0367e-013	1.29214e-013	2.60909e-013	2.469e-013	2.89345e-013	1.47462e-013	2.41388e-013	1.62881e-013	8.77465e-014	0	4.18407e-013	3.52583e-013	1.9765e-013	1.88388e-013	2.61039e-013	0	7.4654e-014
[tfETS1]	1.97677e-013	0	1.19222e-013	1.66531e-013	0	0	0	0	9.81007e-014	0	2.04524e-013	0	0	1.40875e-013	3.453e-013	1.56536e-013	0	0	2.55752e-013	0	0	0	0	1.11252e-013	3.83933e-013	0	0	2.04214e-013	1.29873e-013	6.03492e-013	-1.26539e-013	0	0	1.01535e-013	1.05669e-013	2.9158e-013	1.41536e-013	1.6106e-013	1.07232e-013	2.27451e-013	3.30426e-013	1.67772e-013	0	0	0	0	0	0	0	0	0	-2.09223e-013	0	0	0	4.75873e-013	0	0	0	0	3.55933e-013	2.0734e-013	0	8.69697e-014	1.2345e-013	0	1.47462e-013	3.62083e-013	0	0	8.33278e-014	2.78938e-013	1.76292e-013	3.953e-013	0	0	0	1.49308e-013
[tfFOXA1]	0	-1.045e-013	-1.19222e-013	0	-1.16502e-013	0	-1.02474e-013	0	-9.81007e-014	-1.18586e-013	-2.04524e-013	0	0	0	0	-4.69607e-013	0	0	0	0	0	0	-2.04805e-013	0	-1.27978e-013	-1.12333e-013	-2.50087e-013	-2.04214e-013	-1.29873e-013	-2.01164e-013	-1.26539e-013	-1.45554e-013	-1.03889e-013	-1.01535e-013	-1.05669e-013	0	0	-1.6106e-013	-1.07232e-013	-1.13725e-013	0	-1.67772e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.3585e-013	0	-8.73272e-014	-8.89831e-014	-1.0367e-013	0	-8.69697e-014	-2.469e-013	-1.44672e-013	0	0	0	0	0	-1.39469e-013	-1.76292e-013	-1.9765e-013	0	0	-7.7198e-014	0
[tfGATA1]	1.97677e-013	-1.045e-013	0	1.66531e-013	0	0	0	0	0	0	0	-1.31222e-013	-1.66021e-013	1.40875e-013	-1.7265e-013	1.56536e-013	0	0	0	0	-1.60095e-013	0	0	-1.11252e-013	-2.55956e-013	0	0	0	1.29873e-013	0	-1.26539e-013	-1.45554e-013	-1.03889e-013	-2.0307e-013	0	0	0	0	0	-1.13725e-013	0	1.67772e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.3585e-013	0	0	8.89831e-014	0	0	8.69697e-014	-1.2345e-013	-2.89345e-013	0	0	0	0	0	-1.39469e-013	0	-1.9765e-013	0	0	-1.54396e-013	-7.4654e-014
[tfGATA2]	0	0	0	0	0	0	-1.02474e-013	0	9.81007e-014	0	0	-2.62444e-013	0	0	0	1.56536e-013	0	0	0	0	0	0	0	-1.11252e-013	0	-1.12333e-013	0	-2.04214e-013	0	0	-1.26539e-013	-1.45554e-013	0	0	0	0	1.41536e-013	0	2.14463e-013	0	0	0	0	0	0	0	0	0	0	0	0	-2.09223e-013	0	0	0	-9.51746e-014	0	-1.3585e-013	0	-8.73272e-014	0	0	0	0	1.2345e-013	0	0	-1.20694e-013	0	0	0	0	-1.76292e-013	-1.9765e-013	0	0	0	-7.4654e-014
[tfGATA3]	0	0	0	0	0	0	-1.02474e-013	0	-9.81007e-014	0	0	-1.31222e-013	-1.66021e-013	0	-1.7265e-013	-3.13071e-013	0	0	0	0	-1.60095e-013	0	0	0	-1.27978e-013	0	0	0	0	0	0	0	0	-1.01535e-013	0	0	-1.41536e-013	0	-1.07232e-013	-1.13725e-013	0	-3.35543e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.3585e-013	0	0	0	0	0	-8.69697e-014	-1.2345e-013	-2.89345e-013	0	-1.20694e-013	0	0	0	-1.39469e-013	0	0	0	0	-7.7198e-014	0
[tfGLI1]	1.97677e-013	1.045e-013	0	1.66531e-013	1.16502e-013	0	0	1.20469e-013	0	1.18586e-013	0	0	-1.66021e-013	1.40875e-013	0	0	0	0	1.27876e-013	0	-1.60095e-013	0	1.02402e-013	0	0	0	0	2.04214e-013	1.29873e-013	2.01164e-013	1.26539e-013	0	1.03889e-013	-1.01535e-013	1.05669e-013	0	-1.41536e-013	0	1.07232e-013	-1.13725e-013	1.65213e-013	1.67772e-013	0	0	0	0	0	0	0	0	0	2.09223e-013	0	0	0	9.51746e-014	0	0	0	0	0	1.0367e-013	0	0	0	1.44672e-013	0	0	0	0	0	0	1.76292e-013	0	0	0	0	0
[tfGLI2]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.2345e-013	-1.44672e-013	0	0	0	0	0	0	0	0	0	0	0	0
[tfJUN]	0	-2.09e-013	-1.19222e-013	1.66531e-013	-2.33004e-013	0	-1.02474e-013	0	0	-1.18586e-013	2.04524e-013	-1.31222e-013	0	-1.40875e-013	1.7265e-013	-1.56536e-013	0	0	-1.27876e-013	0	-3.2019e-013	0	-1.02402e-013	0	0	0	0	-4.08429e-013	0	2.01164e-013	-1.26539e-013	-1.45554e-013	-1.03889e-013	1.01535e-013	-1.05669e-013	0	0	0	2.14463e-013	-1.13725e-013	0	-1.67772e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.51746e-014	0	-1.3585e-013	0	-1.74654e-013	0	-1.0367e-013	0	0	2.469e-013	1.44672e-013	-7.37312e-014	1.20694e-013	0	0	-8.33278e-014	0	0	0	0	0	-1.54396e-013	7.4654e-014
[tfJUND]	3.95353e-013	0	0	0	0	0	0	2.40939e-013	0	0	0	0	0	2.8175e-013	0	0	0	0	2.55752e-013	0	0	0	0	0	0	0	0	0	2.59747e-013	0	0	0	0	0	0	0	0	0	2.14463e-013	0	0	3.35543e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90349e-013	0	0	0	0	0	0	0	0	2.469e-013	2.89345e-013	0	2.41388e-013	0	0	0	0	0	0	0	0	0	0
